Date,SAS Date,Wednesday?,CatACOE,CatAQuota,CatABids,CatBCOE,CatBQuota,CatBBids,CatECOE,CatEQuota,CatEBids,A_bids/Quota,B_bids/Quota,E_bids/Quota
2002-03-15,2002-03-16,2002-03-20,33201,1468,2800,34200,651,1052,34501,817,1594,1.907356948,1.615975422,1.951040392
2002-04-01,2002-04-01,2002-04-03,37201,1110,2484,39509,558,1119,41001,682,1797,2.237837838,2.005376344,2.634897361
2002-04-15,2002-04-16,2002-04-17,36000,1149,1890,42101,553,1104,42043,754,1407,1.644908616,1.996383363,1.866047745
2002-05-01,2002-05-01,2002-05-08,35000,1128,1705,40001,560,1043,40001,960,1880,1.511524823,1.8625,1.958333333
2002-05-15,2002-05-16,2002-05-22,33401,1111,1320,38001,552,894,38399,910,1835,1.188118812,1.619565217,2.016483516
2002-06-01,2002-06-01,2002-06-05,33009,1111,1382,33001,595,885,34397,939,1777,1.243924392,1.487394958,1.892438765
2002-06-15,2002-06-16,2002-06-19,30281,1141,1382,32499,563,888,32511,942,1825,1.21121823,1.577264654,1.937367304
2002-07-01,2002-07-01,2002-07-03,31407,1116,1890,31583,579,946,32356,910,1549,1.693548387,1.633851468,1.702197802
2002-07-15,2002-07-16,2002-07-17,30797,1118,1647,30008,561,850,30501,910,1242,1.473166369,1.515151515,1.364835165
2002-08-01,2002-08-01,2002-08-07,30289,1118,1640,31889,555,1149,31899,916,1370,1.466905188,2.07027027,1.495633188
2002-08-15,2002-08-16,2002-08-21,31289,1110,1480,32001,560,873,32001,914,1386,1.333333333,1.558928571,1.516411379
2002-09-01,2002-09-01,2002-09-04,30501,1113,1337,31617,553,715,31493,926,1321,1.201257862,1.292947559,1.426565875
2002-09-15,2002-09-16,2002-09-18,28409,1120,1286,28009,569,756,29499,936,1438,1.148214286,1.328646749,1.536324786
2002-10-01,2002-10-01,2002-10-09,31334,1115,1889,31795,553,917,30989,917,1501,1.694170404,1.658227848,1.636859324
2002-10-15,2002-10-16,2002-10-23,30758,1112,1624,30811,552,850,30801,910,1377,1.460431655,1.539855072,1.513186813
2002-11-01,2002-11-01,2002-11-06,29113,1346,1724,27667,663,866,27999,1097,1663,1.280832095,1.306184012,1.515952598
2002-11-15,2002-11-16,2002-11-20,29008,1334,1942,28001,663,879,28005,1095,1445,1.455772114,1.325791855,1.319634703
2002-12-01,2002-12-01,2002-12-04,28501,1332,1851,27289,663,822,28487,1105,1477,1.38963964,1.239819005,1.336651584
2002-12-15,2002-12-16,2002-12-18,26993,1338,1546,23890,728,977,27119,1091,1501,1.155455904,1.342032967,1.375802016
2003-01-01,2003-01-01,2003-01-08,28489,1342,2153,29099,707,1128,29001,1094,1645,1.604321908,1.595473833,1.503656307
2003-01-15,2003-01-16,2003-01-22,26499,1333,1651,25028,662,919,27416,1099,1515,1.23855964,1.388217523,1.378525933
2003-02-01,2003-02-01,2003-02-05,31003,1339,2405,33657,663,1342,33901,1090,1906,1.796116505,2.02413273,1.748623853
2003-02-15,2003-02-16,2003-02-19,29999,1340,2251,30699,663,1148,30100,1090,1517,1.679850746,1.731523379,1.391743119
2003-03-01,2003-03-01,2003-03-05,28308,1332,1990,27999,670,965,27000,1090,1523,1.493993994,1.440298507,1.397247706
2003-03-15,2003-03-16,2003-03-19,26999,1337,1923,26001,666,944,25501,1096,1676,1.43829469,1.417417417,1.52919708
2003-04-01,2003-04-01,2003-04-09,27497,1473,2816,26601,919,1790,27501,946,1535,1.911744739,1.947769314,1.622621564
2003-04-15,2003-04-16,2003-04-23,28054,1474,2728,27058,938,1762,28109,898,1471,1.850746269,1.878464819,1.638084633
2003-05-01,2003-05-01,2003-05-07,29299,1479,3284,28589,914,1788,29538,891,1320,2.220419202,1.956236324,1.481481481
2003-05-15,2003-05-16,2003-05-21,31095,1471,2621,31400,915,1592,31800,888,1478,1.781781101,1.73989071,1.664414414
2003-06-01,2003-06-01,2003-06-04,31799,1470,2388,31501,913,1448,32597,887,1417,1.624489796,1.585980285,1.597519729
2003-06-15,2003-06-16,2003-06-18,31440,1478,2267,31505,914,1281,32000,890,1328,1.533829499,1.401531729,1.492134831
2003-07-01,2003-07-01,2003-07-09,32079,1471,2341,32779,917,1359,32799,898,1379,1.591434398,1.482006543,1.535634744
2003-07-15,2003-07-16,2003-07-23,31501,1477,1881,31889,918,1209,32593,898,1337,1.27352742,1.316993464,1.488864143
2003-08-01,2003-08-01,2003-08-06,30497,1479,1828,31001,912,1159,31889,892,1401,1.23597025,1.270833333,1.570627803
2003-08-15,2003-08-16,2003-08-20,30989,1477,1773,29900,945,1171,30099,894,1312,1.200406229,1.239153439,1.467561521
2003-09-01,2003-09-01,2003-09-03,25011,1479,1611,28001,919,1163,29000,891,1358,1.089249493,1.265505985,1.524130191
2003-09-15,2003-09-16,2003-09-17,30629,1473,2798,30048,915,1344,30589,889,1345,1.899524779,1.468852459,1.512935883
2003-10-01,2003-10-01,2003-10-08,28915,1914,3039,28199,1175,1565,28997,1167,1594,1.587774295,1.331914894,1.365895458
2003-10-15,2003-10-16,2003-10-22,28300,1925,2558,27989,1163,1374,27900,1154,1551,1.328831169,1.181427343,1.344020797
2003-11-01,2003-11-01,2003-11-05,26338,1921,2106,26001,1160,1368,26700,1172,1690,1.096304008,1.179310345,1.441979522
2003-11-15,2003-11-16,2003-11-19,26725,1911,2315,25481,1157,1344,26999,1155,1495,1.21140764,1.161624892,1.294372294
2003-12-01,2003-12-01,2003-12-03,24401,1911,2020,24112,1181,1401,25299,1164,1508,1.0570382,1.186282811,1.295532646
2003-12-15,2003-12-16,2003-12-17,24251,1911,2376,22295,1156,1295,24502,1356,1789,1.2433281,1.120242215,1.319321534
2004-01-01,2004-01-01,2004-01-07,23801,1919,2549,24293,1158,1516,24019,1162,1655,1.328295987,1.309153713,1.424268503
2004-01-15,2004-01-16,2004-01-21,24001,1912,2616,22002,1160,1468,22801,1152,1724,1.368200837,1.265517241,1.496527778
2004-02-01,2004-02-01,2004-02-04,24489,1917,2701,23508,1156,1474,24016,1170,1678,1.408972353,1.275086505,1.434188034
2004-02-15,2004-02-16,2004-02-18,24389,1925,2534,22001,1162,1404,23801,1154,1402,1.316363636,1.208261618,1.214904679
2004-03-01,2004-03-01,2004-03-03,24597,1923,2539,25699,1163,1516,25492,1159,1615,1.320332813,1.303525365,1.393442623
2004-03-15,2004-03-16,2004-03-17,24940,1919,2613,25058,1160,1445,26401,1156,1481,1.361646691,1.245689655,1.281141869
2004-04-01,2004-04-01,2004-04-07,26689,1937,3386,28001,949,1350,28339,1039,1500,1.748064017,1.422550053,1.443695861
2004-04-15,2004-04-16,2004-04-21,27564,1947,3042,28022,939,1347,28108,1048,1439,1.562403698,1.434504792,1.373091603
2004-05-01,2004-05-01,2004-05-05,27507,1943,2565,26700,934,1192,28000,1037,1372,1.32012352,1.276231263,1.323047252
2004-05-15,2004-05-16,2004-05-19,27501,1933,2236,27990,932,1175,28101,1032,1489,1.156751164,1.260729614,1.442829457
2004-06-01,2004-06-01,2004-06-09,28798,1934,2722,30300,937,1374,30301,1032,1473,1.407445708,1.46638207,1.427325581
2004-06-15,2004-06-16,2004-06-23,28331,1944,2302,30400,932,1217,29999,1030,1585,1.184156379,1.305793991,1.538834951
2004-07-01,2004-07-01,2004-07-07,27769,1941,2193,28990,940,1154,28499,1041,1411,1.129829985,1.227659574,1.355427474
2004-07-15,2004-07-16,2004-07-21,27019,1933,2104,27001,932,1107,27792,1111,1436,1.088463528,1.18776824,1.292529253
2004-08-01,2004-08-01,2004-08-04,26298,1934,2145,27086,940,1095,27295,1038,1365,1.10910031,1.164893617,1.315028902
2004-08-15,2004-08-16,2004-08-18,25797,1938,2237,26301,949,1065,26401,1034,1378,1.154282766,1.12223393,1.332688588
2004-09-01,2004-09-01,2004-09-08,26801,1936,2628,27799,934,1214,27500,1031,1580,1.357438017,1.299785867,1.532492726
2004-09-15,2004-09-16,2004-09-22,24189,1939,2126,26101,934,1129,26199,1029,1300,1.096441465,1.208779443,1.263362488
2004-10-01,2004-10-01,2004-10-06,23001,2523,3106,23001,1145,1505,22000,1340,2199,1.231074118,1.31441048,1.641044776
2004-10-15,2004-10-16,2004-10-20,23784,2515,3805,23005,1137,1434,23369,1381,1858,1.512922465,1.26121372,1.345401883
2004-11-01,2004-11-01,2004-11-03,22496,2514,3115,21301,1137,1323,21798,1359,1835,1.239061257,1.163588391,1.350257542
2004-11-15,2004-11-16,2004-11-17,22001,2514,3095,20300,1137,1326,21999,1336,1784,1.231105807,1.166226913,1.335329341
2004-12-01,2004-12-01,2004-12-08,22463,2520,3224,21302,1143,1402,22809,1342,1698,1.279365079,1.226596675,1.265275708
2004-12-15,2004-12-16,2004-12-22,20117,2520,2709,18708,1139,1270,21298,1366,1766,1.075,1.115013169,1.292825769
2005-01-01,2005-01-01,2005-01-05,18400,2513,2677,14002,1139,1311,19295,1336,1725,1.065260645,1.151009658,1.291167665
2005-01-15,2005-01-16,2005-01-19,19501,2513,3793,19502,1148,1834,19002,1338,1890,1.509351373,1.597560976,1.412556054
2005-02-01,2005-02-01,2005-02-09,18200,2514,3394,16533,1137,1450,17300,1337,1809,1.350039777,1.27528584,1.35302917
2005-02-15,2005-02-16,2005-02-23,18159,2518,3140,16891,1140,1443,17999,1372,2168,1.247021446,1.265789474,1.580174927
2005-03-01,2005-03-01,2005-03-09,20654,2516,3784,21710,1137,1656,21999,1338,1961,1.503974563,1.45646438,1.465620329
2005-03-15,2005-03-16,2005-03-23,18901,2520,3176,18001,1140,1355,19001,1359,1799,1.26031746,1.188596491,1.323767476
2005-04-01,2005-04-01,2005-04-06,18279,2200,2685,16110,1103,1367,18802,1140,1792,1.220454545,1.239347235,1.571929825
2005-04-15,2005-04-16,2005-04-20,18101,2264,2563,17701,1107,1357,18000,1160,1694,1.132067138,1.225835592,1.460344828
2005-05-01,2005-05-01,2005-05-04,17398,2193,2594,16508,1100,1339,17699,1138,1719,1.182854537,1.217272727,1.510544815
2005-05-15,2005-05-16,2005-05-18,16897,2254,2548,16108,1100,1322,17399,1150,1695,1.130434783,1.201818182,1.473913043
2005-06-01,2005-06-01,2005-06-08,17481,2201,2873,16002,1113,1346,18200,1151,1654,1.305315766,1.209344115,1.437011295
2005-06-15,2005-06-16,2005-06-22,17289,2196,2636,15001,1113,1299,17999,1152,1538,1.200364299,1.167115903,1.335069444
2005-07-01,2005-07-01,2005-07-06,16112,2220,2445,15501,1114,1374,17199,1155,1534,1.101351351,1.233393178,1.328138528
2005-07-15,2005-07-16,2005-07-20,16500,2203,2758,16501,1114,1414,17199,1181,1561,1.251929187,1.26929982,1.321761219
2005-08-01,2005-08-01,2005-08-03,16502,2195,2843,15889,1112,1318,16999,1154,1653,1.295216401,1.185251799,1.432409012
2005-08-15,2005-08-16,2005-08-17,16101,2199,2421,16303,1101,1412,16296,1199,1575,1.10095498,1.282470481,1.313594662
2005-09-01,2005-09-01,2005-09-07,16461,2194,2854,16889,1109,1484,16699,1155,1558,1.300820419,1.338142471,1.348917749
2005-09-15,2005-09-16,2005-09-21,15309,2202,2428,14808,1108,1270,15699,1139,1433,1.102633969,1.146209386,1.258121159
2005-10-01,2005-10-01,2005-10-05,11991,2785,3188,11002,1288,1485,12000,1417,1706,1.14470377,1.152950311,1.203952011
2005-10-15,2005-10-16,2005-10-19,14501,2808,5927,14101,1267,2046,14503,1441,2115,2.110754986,1.6148382,1.467730743
2005-11-01,2005-11-01,2005-11-09,14700,2786,5624,14751,1265,2086,14801,1460,1905,2.018664752,1.649011858,1.304794521
2005-11-15,2005-11-16,2005-11-23,14001,2834,4781,14897,1282,1692,14505,1408,2002,1.68701482,1.319812793,1.421875
2005-12-01,2005-12-01,2005-12-07,13700,2792,4171,13301,1267,1499,14200,1414,2112,1.493911175,1.183109708,1.493635078
2005-12-15,2005-12-16,2005-12-21,12081,2858,3309,9001,1271,1386,13302,1394,1927,1.157802659,1.090479937,1.382352941
2006-01-01,2006-01-01,2006-01-04,10602,2787,3076,11602,1277,1876,11701,1403,1859,1.10369573,1.469068128,1.325017819
2006-01-15,2006-01-16,2006-01-18,8009,2785,3213,9603,1275,1483,9801,1402,1655,1.153680431,1.163137255,1.180456491
2006-02-01,2006-02-01,2006-02-08,10284,2794,5517,9501,1265,1726,9275,1397,1785,1.974588404,1.364426877,1.27773801
2006-02-15,2006-02-16,2006-02-22,10103,2787,5030,10489,1274,1866,10400,1397,2080,1.804808037,1.464678179,1.488904796
2006-03-01,2006-03-01,2006-03-08,11199,2792,5001,12555,1268,1926,12697,1395,2102,1.791189112,1.518927445,1.506810036
2006-03-15,2006-03-16,2006-03-22,11904,2792,4381,13556,1267,1830,13689,1395,2000,1.569126074,1.444356748,1.433691756
2006-04-01,2006-04-01,2006-04-05,11901,2222,3183,13402,1084,1420,13301,1119,1657,1.432493249,1.3099631,1.480786416
2006-04-15,2006-04-16,2006-04-19,11901,2225,2762,13101,1086,1299,13000,1112,1514,1.241348315,1.196132597,1.361510791
2006-05-01,2006-05-01,2006-05-03,10003,2223,2426,11519,1089,1293,12402,1118,1475,1.091318039,1.187327824,1.319320215
2006-05-15,2006-05-16,2006-05-17,10100,2222,2473,11801,1091,1337,11717,1176,1570,1.112961296,1.22548121,1.335034014
2006-06-01,2006-06-01,2006-06-07,11202,2217,2688,12200,1096,1426,12000,1119,1933,1.212449256,1.301094891,1.72743521
2006-06-15,2006-06-16,2006-06-21,9301,2217,2393,11001,1088,1256,11002,1111,1716,1.079386558,1.154411765,1.544554455
2006-07-01,2006-07-01,2006-07-05,10201,2216,2867,10801,1084,1240,10803,1147,1678,1.293772563,1.143911439,1.462946818
2006-07-15,2006-07-16,2006-07-19,10803,2221,2776,10600,1089,1332,11101,1127,1718,1.249887438,1.223140496,1.524401065
2006-08-01,2006-08-01,2006-08-09,11901,2222,3333,12501,1084,1365,12699,1116,1669,1.5,1.259225092,1.495519713
2006-08-15,2006-08-16,2006-08-23,12989,2225,3398,13890,1085,1406,13605,1112,1889,1.527191011,1.295852535,1.698741007
2006-09-01,2006-09-01,2006-09-06,13003,2223,2878,14701,1104,1448,15200,1113,1911,1.294646874,1.311594203,1.716981132
2006-09-15,2006-09-16,2006-09-20,13102,2223,2921,14399,1086,1440,14900,1115,1871,1.313990103,1.325966851,1.678026906
2006-10-01,2006-10-01,2006-10-04,12001,2670,2953,12501,1272,1496,13000,1370,2056,1.105992509,1.176100629,1.500729927
2006-10-15,2006-10-16,2006-10-18,10510,2669,2761,12989,1269,1530,12605,1295,1976,1.034469839,1.205673759,1.525868726
2006-11-01,2006-11-01,2006-11-08,12979,2695,4013,13811,1288,1683,14156,1360,2122,1.489053803,1.306677019,1.560294118
2006-11-15,2006-11-16,2006-11-22,12689,2669,3499,14509,1269,1696,14501,1287,1981,1.310977894,1.336485422,1.539238539
2006-12-01,2006-12-01,2006-12-06,12200,2670,3018,14389,1269,1521,14669,1283,1991,1.130337079,1.19858156,1.551831645
2006-12-15,2006-12-16,2006-12-20,9605,2670,2886,12889,1272,1413,13499,1290,1708,1.080898876,1.110849057,1.324031008
2007-01-01,2007-01-01,2007-01-03,11704,2668,3686,13001,1271,1460,13301,1304,1863,1.38155922,1.14870181,1.428680982
2007-01-15,2007-01-16,2007-01-17,11881,2671,3155,12000,1301,1446,12599,1369,1832,1.181205541,1.111452729,1.338203068
2007-02-01,2007-02-01,2007-02-07,11489,2673,3005,12152,1272,1449,12721,1290,1784,1.124205013,1.139150943,1.382945736
2007-02-15,2007-02-16,2007-02-21,5200,2670,2823,6002,1272,1382,11804,1301,1686,1.057303371,1.086477987,1.295926211
2007-03-01,2007-03-01,2007-03-07,12602,2687,5296,13502,1274,2248,13201,1282,2159,1.970971344,1.764521193,1.684087363
2007-03-15,2007-03-16,2007-03-21,13504,2669,4752,14652,1272,1840,14502,1289,2217,1.780442113,1.446540881,1.719937936
2007-04-01,2007-04-01,2007-04-04,14000,2165,3691,14889,1149,1720,15315,1092,1867,1.704849885,1.496953873,1.70970696
2007-04-15,2007-04-16,2007-04-18,14601,2168,3327,15989,1130,1587,16101,1103,1847,1.534594096,1.404424779,1.674524025
2007-05-01,2007-05-01,2007-05-09,16159,2163,3449,17879,1125,1811,17856,1089,2033,1.594544614,1.609777778,1.866850321
2007-05-15,2007-05-16,2007-05-23,17010,2158,2825,18900,1127,1679,19510,1091,1897,1.309082484,1.489795918,1.738771769
2007-06-01,2007-06-01,2007-06-06,16181,2159,2441,19802,1132,1679,19351,1094,1760,1.130616026,1.483215548,1.608775137
2007-06-15,2007-06-16,2007-06-20,15591,2169,2489,18891,1146,1460,18539,1089,1711,1.147533426,1.27399651,1.571166208
2007-07-01,2007-07-01,2007-07-04,14801,2159,2480,17399,1143,1364,17400,1090,1672,1.148679944,1.193350831,1.533944954
2007-07-15,2007-07-16,2007-07-18,16000,2208,2678,17602,1133,1393,17410,1105,1629,1.212862319,1.229479259,1.474208145
2007-08-01,2007-08-01,2007-08-08,17001,2168,2632,18001,1125,1458,18003,1089,1623,1.21402214,1.296,1.490358127
2007-08-15,2007-08-16,2007-08-22,8118,2189,2315,16010,1124,1288,17302,1093,1538,1.05756053,1.145907473,1.407136322
2007-09-01,2007-09-01,2007-09-05,17999,2309,3753,18200,1136,1594,19323,1096,1747,1.625378952,1.403169014,1.593978102
2007-09-15,2007-09-16,2007-09-19,17941,2159,3055,19589,1125,1581,19199,1116,1789,1.415006948,1.405333333,1.603046595
2007-10-01,2007-10-01,2007-10-03,16999,2165,2604,17102,1125,1409,18000,1087,1527,1.202771363,1.252444444,1.404783809
2007-10-15,2007-10-16,2007-10-17,12401,2158,2472,17589,1133,1370,18000,1088,1586,1.145505097,1.20917917,1.457720588
2007-11-01,2007-11-01,2007-11-07,16839,2164,3040,18001,1125,1438,17809,1112,1653,1.404805915,1.278222222,1.486510791
2007-11-15,2007-11-16,2007-11-21,14404,2158,2450,16401,1126,1339,17001,1147,1683,1.135310473,1.189165187,1.467306016
2007-12-01,2007-12-01,2007-12-05,12001,2174,2373,13114,1163,1334,15501,1088,1699,1.091536339,1.147033534,1.561580882
2007-12-15,2007-12-16,2007-12-19,14001,2162,2588,15802,1125,1578,16000,1104,1564,1.197039778,1.402666667,1.416666667
2008-01-01,2008-01-01,2008-01-09,14052,2162,2553,15989,1172,1556,15601,1094,1658,1.180851064,1.327645051,1.515539305
2008-01-15,2008-01-16,2008-01-23,12001,2231,2611,13289,1144,1328,13801,1169,1829,1.170327208,1.160839161,1.564585115
2008-02-01,2008-02-01,2008-02-06,12002,2167,3005,13209,1133,1454,13301,1093,1786,1.386709737,1.283318623,1.634034767
2008-02-15,2008-02-16,2008-02-20,12856,2291,2923,15510,1125,1632,15110,1106,1692,1.275862069,1.450666667,1.529837251
2008-03-01,2008-03-01,2008-03-05,14351,2171,2727,18000,1125,1499,18670,1088,1929,1.256103178,1.332444444,1.772977941
2008-03-15,2008-03-16,2008-03-19,15389,2161,2474,19001,1130,1387,18854,1088,1713,1.144840352,1.227433628,1.574448529
2008-04-01,2008-04-01,2008-04-09,16930,2043,2570,19501,1132,1382,19389,881,1348,1.257953989,1.220848057,1.530079455
2008-04-15,2008-04-16,2008-04-23,15600,2036,2197,17510,1119,1324,18451,877,1266,1.079076621,1.183199285,1.443557583
2008-05-01,2008-05-01,2008-05-07,11009,2053,2211,15889,1101,1230,16500,886,1416,1.076960546,1.117166213,1.598194131
2008-05-15,2008-05-16,2008-05-21,15701,2063,2824,17113,1100,1396,16700,876,1345,1.368880271,1.269090909,1.535388128
2008-06-01,2008-06-01,2008-06-04,14590,2038,2500,14640,1125,1282,16301,882,1221,1.226692836,1.139555556,1.384353741
2008-06-15,2008-06-16,2008-06-18,14101,2037,2319,14689,1099,1280,15459,878,1352,1.138438881,1.164695177,1.539863326
2008-07-01,2008-07-01,2008-07-09,14685,2036,2463,15501,1099,1383,15661,875,1258,1.209724951,1.258416742,1.437714286
2008-07-15,2008-07-16,2008-07-23,14101,2048,2464,14235,1099,1307,14858,880,1178,1.203125,1.189262966,1.338636364
2008-08-01,2008-08-01,2008-08-06,12501,2035,2267,12889,1104,1253,14101,884,1229,1.114004914,1.134963768,1.390271493
2008-08-15,2008-08-16,2008-08-20,13289,2036,2318,13890,1099,1362,14001,883,1318,1.138506876,1.239308462,1.492638732
2008-09-01,2008-09-01,2008-09-03,9501,2038,2172,13389,1099,1195,14300,880,1503,1.065750736,1.087352138,1.707954545
2008-09-15,2008-09-16,2008-09-17,14100,2035,2765,13301,1127,1288,14889,880,1408,1.358722359,1.142857143,1.6
2008-10-01,2008-10-01,2008-10-08,13801,1856,2320,14400,1132,1338,15058,754,1144,1.25,1.181978799,1.517241379
2008-10-15,2008-10-16,2008-10-22,10989,1846,2149,7589,1100,1302,12001,769,1100,1.164138678,1.183636364,1.430429129
2008-11-01,2008-11-01,2008-11-05,10455,1848,2049,8301,1099,1216,10490,760,1061,1.108766234,1.106460419,1.396052632
2008-11-15,2008-11-16,2008-11-19,2,1851,1852,4889,1100,1181,6889,757,1027,1.000540249,1.073636364,1.35667107
2008-12-01,2008-12-01,2008-12-03,7721,1840,3149,6501,1100,1411,7589,761,1337,1.711413043,1.282727273,1.756898817
